task_id,variation_id,search_phrase,top_10,target_id,score
0,0," ""High-quality leather backpack purse, multiple compartments, reputable brands""","['B06XGBCXGP', 'B08S6WS4F3', 'B07T84G9GH', 'B0BN7YJL97', 'B07P8Q8Z3N', 'B07ZWR7622', 'B07LFTZ8RH', 'B07CZG9WMM', 'B07Q2J337L', 'B01L8EQPSM']",B0BN7YJL97,0.7
0,1," ""High-quality leather backpack, spacious, multiple compartments, reputable brands""","['B07CBYYHTL', 'B0BN7YJL97', 'B0BVJ14ZV3', 'B0762BPCQW', 'B07TC3M3LG', 'B099N5K32R', 'B0C472X7GL', 'B0C4Z5NQKJ', 'B06XGBCXGP', 'B0BYZMDN97']",B0BN7YJL97,0.9
0,2," ""Highly-rated, spacious leather backpack purse with compartments""","['B0BN7YJL97', 'B0762BPCQW', 'B07LFTZ8RH', 'B099N5K32R', 'B09J3GP6X5', 'B08RTRHB8P', 'B07Q2J337L', 'B07P8Q8Z3N', 'B07ZWR7622', 'B06XGBCXGP']",B0BN7YJL97,1.0
0,3," ""High-quality leather backpack purse, spacious, multiple compartments, everyday use""","['B0762BPCQW', 'B06XGBCXGP', 'B0BN7YJL97', 'B099N5K32R', 'B07P8Q8Z3N', 'B09J3GP6X5', 'B08S6WS4F3', 'B07T84G9GH', 'B07CBYYHTL', 'B07DQVBWLS']",B0BN7YJL97,0.8
0,4," ""High-quality leather backpack purse, spacious, multiple compartments, reputable brands""","['B0BN7YJL97', 'B0762BPCQW', 'B06XGBCXGP', 'B099N5K32R', 'B07CBYYHTL', 'B08S6WS4F3', 'B07T84G9GH', 'B07P8Q8Z3N', 'B07ZWR7622', 'B07LFTZ8RH']",B0BN7YJL97,1.0
0,5," ""High-quality leather backpack purse, spacious, multiple compartments, reputable brands""

Explanation: This search phrase reflects the focus on quality and functionality, as well as the preference for reputable brands. It is somewhat vague, as it does not specify the exact size or number of compartments, but it does convey the general requirements for the product. The tone is neutral and detailed, which aligns with the profile's preference for interaction complexity.","['B0762BPCQW', 'B07T84G9GH', 'B07BJ4NL6X', 'B06XGBCXGP', 'B099N5K32R', 'B004SUOWC0', 'B08RTRHB8P', 'B0BVJ14ZV3', 'B09NZQM8KC', 'B0BN7YJL97']",B0BN7YJL97,0.09999999999999998
0,6," ""High-quality leather backpack purse, multiple compartments, reputable brands""","['B06XGBCXGP', 'B08S6WS4F3', 'B07T84G9GH', 'B0BN7YJL97', 'B07P8Q8Z3N', 'B07ZWR7622', 'B07LFTZ8RH', 'B07CZG9WMM', 'B07Q2J337L', 'B01L8EQPSM']",B0BN7YJL97,0.7
0,7," ""High-quality leather backpack, multiple compartments, reputable brands""","['B0C4Z5NQKJ', 'B06XGBCXGP', 'B07T84G9GH', 'B07CBYYHTL', 'B07CZG9WMM', 'B07P8Q8Z3N', 'B0BGS9ZL6R', 'B0BVJ14ZV3', 'B08S6WS4F3', 'B0BN7YJL97']",B0BN7YJL97,0.09999999999999998
0,8," ""High-quality leather backpack, multiple compartments, reputable brand""","['B0C4Z5NQKJ', 'B06XGBCXGP', 'B07T84G9GH', 'B07CBYYHTL', 'B07CZG9WMM', 'B07P8Q8Z3N', 'B0BGS9ZL6R', 'B0BVJ14ZV3', 'B08S6WS4F3', 'B0BN7YJL97']",B0BN7YJL97,0.09999999999999998
0,9," ""High-quality leather backpack purse, spacious, multiple compartments, reputable brands""","['B0BN7YJL97', 'B0762BPCQW', 'B06XGBCXGP', 'B099N5K32R', 'B07CBYYHTL', 'B08S6WS4F3', 'B07T84G9GH', 'B07P8Q8Z3N', 'B07ZWR7622', 'B07LFTZ8RH']",B0BN7YJL97,1.0
1,0," ""Highly-rated, adjustable monitor stands, black, space-saving, easy assembly""","['B0BY891XCD', 'B0196KIZ9C', 'B08PZCGYTT', 'B09PY2KCZF', 'B095CB5SF8', 'B08DLVZX7S', 'B08XQV27ZK', 'B08X4Q1ZJ1', 'B0BB6J1T1M', 'B07TCYBQGK']",B0BY891XCD,1.0
1,1," ""Highly-rated, sturdy black monitor stands, easy assembly""","['B0B6F9R45P', 'B0BSVDD3RR', 'B0196KIZ9C', 'B0BY891XCD', 'B08DLVZX7S', 'B09Q3NR84W', 'B0C6FJFRJG', 'B0BB6J1T1M', 'B0865K225D', 'B0BHSH7Y6V']",B0BY891XCD,0.7
1,2," ""Highly-rated, sturdy monitor stands, black finish, easy assembly""","['B0BY891XCD', 'B08DLVZX7S', 'B09Q3NR84W', 'B0BHSH7Y6V', 'B0B6F9R45P', 'B0B76FGFSH', 'B0BSVDD3RR', 'B0196KIZ9C', 'B0BYBRYZNF', 'B001O9CK2M']",B0BY891XCD,1.0
1,3," ""Sturdy, adjustable monitor support, black finish, space-saving, easy assembly""","['B0BY891XCD', 'B08DLVZX7S', 'B07TCYBQGK', 'B095CB5SF8', 'B07SFY91YW', 'B087BRBW7S', 'B07MLQQPDM', 'B08X4Q1ZJ1', 'B013B74U0Y', 'B081ST3BZF']",B0BY891XCD,1.0
1,4," ""Sturdy, adjustable monitor stand, black finish, top ratings, easy assembly""","['B08DLVZX7S', 'B0BY891XCD', 'B0BHSH7Y6V', 'B0B6F9R45P', 'B087BRBW7S', 'B0BSVDD3RR', 'B0196KIZ9C', 'B08WX41THX', 'B0C6FJFRJG', 'B01N0XOMM9']",B0BY891XCD,0.9
1,5," ""Highly-rated, adjustable, sturdy monitor support, black finish, easy assembly""","['B08DLVZX7S', 'B0BY891XCD', 'B0B6F9R45P', 'B0BHSH7Y6V', 'B0BSVDD3RR', 'B087BRBW7S', 'B07LGSQP6J', 'B0BK1BWNZ2', 'B073ZCFMF8', 'B09K3HVH39']",B0BY891XCD,0.9
1,6," ""Highly-rated, adjustable black monitor stands, easy assembly""","['B0BY891XCD', 'B0196KIZ9C', 'B09PY2KCZF', 'B0B6F9R45P', 'B0BSVDD3RR', 'B074PZTLSK', 'B0C6FJFRJG', 'B08PZCGYTT', 'B078V36TFG', 'B08DLVZX7S']",B0BY891XCD,1.0
1,7," ""Highly-rated, adjustable black monitor stand, quality and space-saving""","['B0BY891XCD', 'B07TCYBQGK', 'B08PZCGYTT', 'B095CB5SF8', 'B07BN694R2', 'B07V1W5C7Z', 'B00B5Q6Y7G', 'B09PY2KCZF', 'B0196KIZ9C', 'B081ST3BZF']",B0BY891XCD,1.0
1,8," ""Quality, durable black monitor stand, easy assembly, space-saving""","['B0BY891XCD', 'B095CB5SF8', 'B0CBFP2KFL', 'B0BB6J1T1M', 'B0196KIZ9C', 'B08PZCGYTT', 'B07TCYBQGK', 'B08DLVZX7S', 'B08X4Q1ZJ1', 'B09PY2KCZF']",B0BY891XCD,1.0
1,9," ""Highly-rated, adjustable monitor stands, black finish, easy assembly""","['B0BY891XCD', 'B0196KIZ9C', 'B078V36TFG', 'B09PY2KCZF', 'B0B6F9R45P', 'B08DLVZX7S', 'B0BHSH7Y6V', 'B0BSVDD3RR', 'B074PZTLSK', 'B0C6FJFRJG']",B0BY891XCD,1.0
2,0," ""High-quality, bulk organic food deals - any brand suggestions?""","['B07FZ5SW3S', 'B08P5YB15Y', 'B08GG285ZV', 'B000RY46G8', 'B018RLFMSI', 'B082LPW5BG', 'B0019HJMMK', 'B000A0WMXS', 'B07TBHKP5Y', 'B0BVZD8W7P']",B08X4DDXXY,0.0
2,1," ""High-quality, bulk olives - brand recommendations?""

Explanation:
This search phrase is vague enough to not reveal the complete details of the target product (Mediterranean olives, pitted), but it does include the focus aspects of ""quality"" and ""brand"". The tone is neutral, but it can be interpreted as enthusiastic due to the use of the word ""recommendations"". It aligns with the profile of a chef who is looking for","['B08X4DDXXY', 'B07MRDC8W2', 'B09KRC6P9Z', 'B08L7RG36Y', 'B001EO7GKI', 'B00VA1N05A', 'B0077KWL1C', 'B006ZGLRUU', 'B01250ZOGW', 'B002V91TY4']",B08X4DDXXY,1.0
2,2," ""Highly-rated, bulk olives with many reviews""","['B08M1NQ4KT', 'B08L7RG36Y', 'B0933KJ44P', 'B077G5KV4C', 'B00APPD4JE', 'B08X4DDXXY', 'B01DV2OJYG', 'B003BYRDNE', 'B00VTTPZF6', 'B00028PZ1E']",B08X4DDXXY,0.5
2,3," ""Highly-rated, bulk deals on popular pitted olives""","['B00VA1N05A', 'B07GX37QR7', 'B0933KJ44P', 'B0BKH3HLSD', 'B08X4DDXXY', 'B001EO7GKI', 'B01250ZOGW', 'B09C8KRN1M', 'B0877RPF9G', 'B08M1NQ4KT']",B08X4DDXXY,0.6
2,4," ""Highly-rated bulk pitted olives, material and brand focus""","['B00VA1N05A', 'B07GX37QR7', 'B01250ZOGW', 'B0BKH3HLSD', 'B08X4DDXXY', 'B001EO7GKI', 'B00KO2KNTW', 'B0877RPF9G', 'B08M1NQ4KT', 'B0933KJ44P']",B08X4DDXXY,0.6
2,5," ""Exploring high-quality, bulk pitted olives deals! Any brand suggestions?""","['B001EO7GKI', 'B08X4DDXXY', 'B00VA1N05A', 'B01250ZOGW', 'B07GX37QR7', 'B09C8KRN1M', 'B0BKH3HLSD', 'B07WPSJWQ6', 'B00KO2KNTW', 'B08L7RG36Y']",B08X4DDXXY,0.9
2,6," ""High-quality, bulk olives - best deals, top brands?""","['B08L7RG36Y', 'B07WPSJWQ6', 'B07ZXQ5T1T', 'B08P5YB15Y', 'B09KRC6P9Z', 'B075Q6NG24', 'B0B8D3GSJK', 'B07RCVB6CD', 'B08MB2R882', 'B0B9HWDDZ1']",B08X4DDXXY,0.0
2,7," ""High-quality, bulk deals on popular pitted olives""","['B00VA1N05A', 'B001EO7GKI', 'B01250ZOGW', 'B07GX37QR7', 'B0BKH3HLSD', 'B08X4DDXXY', 'B0933KJ44P', 'B08L7RG36Y', 'B07WPSJWQ6', 'B00KO2KNTW']",B08X4DDXXY,0.5
2,8," ""High-quality, bulk pitted olives. Brand recommendations?""","['B00VA1N05A', 'B001EO7GKI', 'B01250ZOGW', 'B07GX37QR7', 'B0BKH3HLSD', 'B08X4DDXXY', 'B00KO2KNTW', 'B08L7RG36Y', 'B0877RPF9G', 'B09JPFP1MJ']",B08X4DDXXY,0.5
2,9," ""High-quality, bulk deals on popular brands""","['B08P5YB15Y', 'B07YF29SLL', 'B00DTWE2J6', 'B003POTKZE', 'B07ZPRMLYV', 'B07MLZ91WK', 'B0933KJ44P', 'B01N7GA5LZ', 'B07L4JFR3Q', 'B08C9YRC31']",B08X4DDXXY,0.0
3,0," ""Highly-rated pain relief powder, top brand, many reviews""","['B0BXN6Z8T7', 'B092WZXLCB', 'B0BNP2X4N7', 'B0C2ZQX7XL', 'B00T3IV5WC', 'B09DSYB5QZ', 'B07SRR6FKX', 'B01MFGJWDY', 'B0CCRRTTZK', 'B00KHKX9P6']",B092WZXLCB,0.9
3,1," ""Top-rated, fast-acting pain relief powder, quality brand""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,2," ""Highly-rated, fast-acting pain relief powder""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B09LJ28N4F', 'B0C4C69YS6']",B092WZXLCB,1.0
3,3," ""Top-rated, fast-acting pain relief powder, quality and price""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B0C4C69YS6', 'B0BL963NJK']",B092WZXLCB,1.0
3,4," ""Top-rated, fast-acting pain relief powder, quality brand""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,5," ""Top-rated, fast-acting pain relief powder, quality brand""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,6," ""Top-rated, fast-acting pain relief powder, quality & price balance""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B08BN1SLBV', 'B01HI7WON8', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B0C4C69YS6']",B092WZXLCB,1.0
3,7," ""Highly-rated, fast-acting pain relief powder, reputable brand""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,8," ""Top-rated, fast-acting pain relief powder reviews""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B0C4C69YS6', 'B0BL963NJK']",B092WZXLCB,1.0
3,9," ""Highly-rated, fast-acting pain relief powder""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B09LJ28N4F', 'B0C4C69YS6']",B092WZXLCB,1.0
4,0," ""Top-rated men's multivitamin with immune support and B vitamins""","['B0BKRPSDZH', 'B0028AD6WO', 'B096YMB235', 'B084PH9NSX', 'B0BXVTGJKV', 'B07WS3YSTP', 'B0065IH4QY', 'B0C5S1LKNB', 'B007L0DPE0', 'B07KPB55M5']",B0BKRPSDZH,1.0
4,1," ""Reputable brand, high-quality multivitamin for men, easy-swallow, immune support, energy boost""","['B0BKRPSDZH', 'B096YMB235', 'B01HWVAVVM', 'B09TB36JSQ', 'B0028AD6WO', 'B084RNF4HD', 'B01LONI8SM', 'B007L0DPE0', 'B07ZPY97PM', 'B004XSOJ02']",B0BKRPSDZH,1.0
4,2," ""Reputable brand, high-rated multivitamin, easy-swallow tablets, immune support, B vitamins""","['B0BKRPSDZH', 'B07KPB55M5', 'B0028AD6WO', 'B004XSOJ02', 'B007L0DPE0', 'B0B8XT9VH4', 'B0065IH4QY', 'B0C5S1LKNB', 'B084PH9NSX', 'B013U98YLE']",B0BKRPSDZH,1.0
4,3," ""Reputable brand men's multivitamin, easy-swallow, immune support, energy boost""","['B0BKRPSDZH', 'B096YMB235', 'B0028AD6WO', 'B09TB36JSQ', 'B01LONI8SM', 'B01HWVAVVM', 'B084RNF4HD', 'B004XSOJ02', 'B084PH9NSX', 'B07MXR8YD6']",B0BKRPSDZH,1.0
4,4," ""Reputable brand men's multivitamin, easy-swallow, immune support, energy B vitamins""","['B0BKRPSDZH', 'B0028AD6WO', 'B084RNF4HD', 'B07KPB55M5', 'B096YMB235', 'B004XSOJ02', 'B0BXVTGJKV', 'B007L0DPE0', 'B07WS3YSTP', 'B084PH9NSX']",B0BKRPSDZH,1.0
4,5," ""Top-rated, easy-swallow men's multivitamins with B vitamins for energy""","['B0BKRPSDZH', 'B084RNF4HD', 'B0028AD6WO', 'B07KPB55M5', 'B013U98YLE', 'B004XSOJ02', 'B0BXVTGJKV', 'B0065IH4QY', 'B096YMB235', 'B07WS3YSTP']",B0BKRPSDZH,1.0
4,6," ""Top-rated men's multivitamin with B vitamins and immune support""","['B0BKRPSDZH', 'B0028AD6WO', 'B096YMB235', 'B084PH9NSX', 'B0BXVTGJKV', 'B07WS3YSTP', 'B0065IH4QY', 'B0C5S1LKNB', 'B007L0DPE0', 'B07KPB55M5']",B0BKRPSDZH,1.0
